LoanID,CustomerAge,Income,LoanAmount,InterestRate,TermMonths,CreditScore,OriginationDate,Defaulted,DefaultDate,DTI,LTI,AgeGroup,TimeToDefaultMonths,OriginationMonth,GDP_Growth,Unemployment_Rate,Inflation_Rate,GDP_Growth_3MAvg,Unemployment_3MAvg,Inflation_3MAvg,PD,LGD,EAD,ECL,CreditScoreBand,IFRS9_Stage,LoanAgeMonths
L01385,57,126629,23800,5.43,60,321,2023-10-04,0,,0.187950627423418,0.187950627423418,50s,0.0,2023-10-01,1.9361392798913275,5.201538083718159,2.1953790107849285,1.8066350953327208,4.933524106262756,2.652395419426751,0.21,0.276,23456.51,1361.8,Poor,Stage 2,19
L01386,45,125596,18438,11.02,60,350,2023-09-09,0,,0.1468040383451702,0.1468040383451702,40s,0.0,2023-09-01,1.1591001010794146,4.230644229196696,2.9397958517909712,2.114432919187339,4.96997050653583,2.5842995703130565,0.07,0.201,18660.02,262.78,Poor,Stage 2,20
L01387,58,126748,16026,11.57,12,615,2023-10-26,0,,0.1264398649288351,0.1264398649288351,50s,0.0,2023-10-01,1.9361392798913275,5.201538083718159,2.1953790107849285,1.8066350953327208,4.933524106262756,2.652395419426751,0.09,0.276,15333.87,381.32,Fair,Stage 2,19
L01388,32,40389,34498,8.84,60,754,2024-04-11,1,2028-12-18,0.8541434549010869,0.8541434549010869,30s,57.0,2024-04-01,2.610925191020669,4.921261927611488,2.4286029073507773,2.4915551817490145,5.226437489195747,2.276693568136,0.68,0.194,32597.27,4292.21,Very Good,Stage 3,13
L01389,51,124224,14688,12.95,36,427,2023-11-07,0,,0.1182380216383307,0.1182380216383307,50s,0.0,2023-11-01,1.7402557425219578,6.967381840997457,2.685016707073905,1.6118317078309,5.466521384637438,2.606730523216602,0.31,0.255,14941.29,1182.02,Poor,Stage 2,18
L01390,61,32041,26227,13.49,12,570,2023-12-07,0,,0.8185449892325458,0.8185449892325458,60s,0.0,2023-12-01,1.894676466343383,7.069755601215846,1.9379351431262704,1.8570238295855563,6.412891841977154,2.272776953661701,0.02,0.242,27393.21,132.34,Poor,Stage 2,17
L01391,51,147173,14586,5.27,24,502,2022-08-31,0,,0.0991078526631923,0.0991078526631923,50s,0.0,2022-08-01,1.5884499952760007,6.694642118148653,2.071038927995376,2.5550033703400445,5.676320311620862,2.2290679117675807,0.1,0.322,15197.5,488.83,Poor,Stage 2,33
L01392,48,90793,49501,13.6,36,370,2022-12-06,0,,0.5452072296322403,0.5452072296322403,40s,0.0,2022-12-01,1.708355198702862,3.973186911024205,2.6071833741290216,2.408536698676428,5.606239873346172,2.482278279644609,0.07,0.35,49969.94,1222.68,Poor,Stage 2,29
L01393,38,29587,31264,6.5,36,383,2023-01-30,0,,1.0566802987798696,1.0566802987798696,30s,0.0,2023-01-01,2.4823076569763702,7.721511165662398,2.7035067129716897,2.3590750079880727,6.043806803857092,2.5168408015261186,0.09,0.222,29882.44,598.35,Poor,Stage 2,27
L01394,46,137574,18754,11.84,36,675,2023-08-13,0,,0.136319362670272,0.136319362670272,40s,0.0,2023-08-01,2.32466590502742,5.368390005873416,2.822011395704353,2.290270107591903,5.323876239875504,2.521788194019356,0.1,0.329,18844.39,619.99,Good,Stage 2,21
L01395,22,137972,34891,15.14,36,448,2023-11-27,0,,0.2528846432609515,0.2528846432609515,20s,0.0,2023-11-01,1.7402557425219578,6.967381840997457,2.685016707073905,1.6118317078309,5.466521384637438,2.606730523216602,0.07,0.257,35725.39,641.59,Poor,Stage 2,17
L01396,32,135477,22859,6.13,12,585,2023-03-28,0,,0.1687297474848129,0.1687297474848129,30s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.22,0.289,22453.12,1427.31,Fair,Stage 2,26
L01397,44,123693,22747,7.45,24,323,2022-10-25,0,,0.1838988463373028,0.1838988463373028,40s,0.0,2022-10-01,2.6306927290414364,6.4088103741296365,2.599819147327161,2.049337569661418,6.388047865137168,2.413916357481154,0.25,0.238,22383.62,1331.75,Poor,Stage 2,31
L01398,33,103151,43727,11.32,24,737,2023-09-19,1,2025-03-08,0.4239125166018749,0.4239125166018749,30s,18.0,2023-09-01,1.1591001010794146,4.230644229196696,2.9397958517909712,2.114432919187339,4.96997050653583,2.5842995703130565,0.74,0.258,43239.0,8262.91,Good,Stage 3,20
L01399,36,69573,45733,16.26,60,462,2023-05-05,0,,0.6573383352737413,0.6573383352737413,30s,0.0,2023-05-01,1.9134642250612213,4.921429141968128,2.536535433577892,1.9909266177032352,6.2400099885139495,2.8167784913630864,0.07,0.277,46040.6,893.99,Poor,Stage 2,24
L01400,57,24944,16877,9.22,48,584,2024-04-04,0,,0.6765955740859525,0.6765955740859525,50s,0.0,2024-04-01,2.610925191020669,4.921261927611488,2.4286029073507773,2.4915551817490145,5.226437489195747,2.276693568136,0.17,0.286,17353.03,842.56,Fair,Stage 2,13
L01401,30,23258,34629,9.81,12,715,2023-03-01,0,,1.488907042737983,1.488907042737983,20s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.06,0.238,34178.24,488.15,Good,Stage 2,26
L01402,52,42553,47402,9.02,24,552,2022-05-24,0,,1.1139520127840574,1.1139520127840574,50s,0.0,2022-05-01,1.3761188425140192,6.318907291787187,2.569954585294288,1.7584506549428334,6.411956393472274,2.4795611804930995,0.03,0.274,46001.4,378.52,Poor,Stage 2,36
L01403,22,100720,3669,4.35,12,607,2024-05-16,1,2024-11-14,0.0364277204130262,0.0364277204130262,20s,6.0,2024-05-01,1.3930510644373455,4.999306485684271,2.408811511663381,2.240337984797757,5.51716228270183,2.29832950569295,0.73,0.155,3623.43,411.04,Fair,Stage 3,12
L01404,42,131393,19493,15.45,12,639,2022-11-06,0,,0.1483564573455207,0.1483564573455207,40s,0.0,2022-11-01,2.886562168284985,6.436722334884672,2.239832317477644,2.48204162733108,6.3020746040491735,2.4701808206419096,0.11,0.325,18991.38,678.73,Fair,Stage 2,30
L01405,56,136603,19940,5.38,60,404,2022-12-28,0,,0.1459704398878502,0.1459704398878502,50s,0.0,2022-12-01,1.708355198702862,3.973186911024205,2.6071833741290216,2.408536698676428,5.606239873346172,2.482278279644609,0.06,0.222,19705.05,262.7,Poor,Stage 2,29
L01406,38,80107,20257,16.0,24,347,2022-05-30,0,,0.2528742806496311,0.2528742806496311,30s,0.0,2022-05-01,1.3761188425140192,6.318907291787187,2.569954585294288,1.7584506549428334,6.411956393472274,2.4795611804930995,0.08,0.232,20502.49,381.28,Poor,Stage 2,36
L01407,27,38895,36551,14.81,48,848,2023-02-05,0,,0.9397351844710116,0.9397351844710116,20s,0.0,2023-02-01,2.395625964836375,5.4348975897018175,2.441587329929464,2.195429606838536,5.709865222129474,2.584092472343392,0.03,0.236,35899.23,254.26,Excellent,Stage 2,27
L01408,57,23196,45320,12.05,48,513,2023-06-04,1,2026-01-02,1.953785135368167,1.953785135368167,50s,31.0,2023-06-01,1.6866116662931072,5.292361429215716,2.7522617229098687,1.970851792373928,5.546148941512129,2.757910161032392,0.79,0.26,46993.33,9662.32,Poor,Stage 3,23
L01409,53,48225,48853,10.64,48,381,2023-04-01,0,,1.0130222913426643,1.0130222913426643,50s,0.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.13,0.303,48031.64,1889.41,Poor,Stage 2,25
L01410,30,117175,45487,6.25,36,701,2024-03-14,0,,0.3881971410283764,0.3881971410283764,20s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.29,0.246,44683.04,3193.53,Good,Stage 2,14
L01411,44,26849,39015,6.4,24,766,2023-02-04,1,2024-12-24,1.4531267458750792,1.4531267458750792,40s,23.0,2023-02-01,2.395625964836375,5.4348975897018175,2.441587329929464,2.195429606838536,5.709865222129474,2.584092472343392,0.17,0.211,38098.55,1365.54,Very Good,Stage 2,27
L01412,55,137752,34113,17.92,36,692,2023-07-18,0,,0.247640687612521,0.247640687612521,50s,0.0,2023-07-01,2.8595327514551823,5.310877284537378,1.991091463443845,2.153202880936504,5.174889285240408,2.426629539977202,0.08,0.247,33372.63,658.33,Good,Stage 2,22
L01413,35,132610,8956,8.02,36,619,2024-04-21,0,,0.0675363848880175,0.0675363848880175,30s,0.0,2024-04-01,2.610925191020669,4.921261927611488,2.4286029073507773,2.4915551817490145,5.226437489195747,2.276693568136,0.09,0.252,9212.05,209.07,Fair,Stage 2,13
L01414,27,90199,42830,17.48,36,461,2022-12-27,0,,0.474838967172585,0.474838967172585,20s,0.0,2022-12-01,1.708355198702862,3.973186911024205,2.6071833741290216,2.408536698676428,5.606239873346172,2.482278279644609,0.08,0.346,43747.11,1209.53,Poor,Stage 2,29
L01415,69,73472,25322,12.43,60,586,2023-10-11,1,2025-11-23,0.3446483013937282,0.3446483013937282,60s,26.0,2023-10-01,1.9361392798913275,5.201538083718159,2.1953790107849285,1.8066350953327208,4.933524106262756,2.652395419426751,0.53,0.36,26393.57,5029.51,Fair,Stage 3,19
L01416,49,70617,23493,11.28,60,819,2023-12-05,1,2028-05-28,0.3326819321126641,0.3326819321126641,40s,55.0,2023-12-01,1.894676466343383,7.069755601215846,1.9379351431262704,1.8570238295855563,6.412891841977154,2.272776953661701,0.17,0.531,21768.06,1966.49,Excellent,Stage 2,17
L01417,68,93300,48771,10.02,12,403,2023-04-27,0,,0.5227331189710611,0.5227331189710611,60s,0.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.18,0.392,48728.65,3437.43,Poor,Stage 2,25
L01418,57,91196,32521,12.23,12,576,2023-06-22,0,,0.3566055528751261,0.3566055528751261,50s,0.0,2023-06-01,1.6866116662931072,5.292361429215716,2.7522617229098687,1.970851792373928,5.546148941512129,2.757910161032392,0.16,0.268,32548.57,1393.76,Poor,Stage 2,23
L01419,24,141019,35060,9.6,24,642,2022-07-08,0,,0.248618980421078,0.248618980421078,20s,0.0,2022-07-01,4.073947525166922,4.801062819433707,1.8246969232435752,2.4842263194193843,5.551075369500374,2.3953731308672186,0.08,0.231,35772.49,661.13,Fair,Stage 2,34
L01420,66,126415,38169,9.74,24,565,2023-03-01,1,2023-08-11,0.3019341059209746,0.3019341059209746,60s,5.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.17,0.327,37545.27,2085.95,Poor,Stage 2,26
L01421,21,81772,16824,13.64,60,839,2022-09-16,0,,0.2057427970454434,0.2057427970454434,20s,0.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.15,0.311,17056.31,795.43,Excellent,Stage 2,32
L01422,68,145548,32290,6.07,12,398,2023-06-03,1,2024-04-08,0.2218512105971913,0.2218512105971913,60s,10.0,2023-06-01,1.6866116662931072,5.292361429215716,2.7522617229098687,1.970851792373928,5.546148941512129,2.757910161032392,0.76,0.356,31478.95,8509.5,Poor,Stage 3,23
L01423,51,103536,16806,17.41,12,819,2024-03-29,0,,0.1623203523412146,0.1623203523412146,50s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.2,0.357,16866.62,1204.39,Excellent,Stage 2,13
L01424,25,26853,43477,4.76,36,319,2022-11-08,0,,1.619074218895468,1.619074218895468,20s,0.0,2022-11-01,2.886562168284985,6.436722334884672,2.239832317477644,2.48204162733108,6.3020746040491735,2.4701808206419096,0.13,0.302,44426.02,1741.45,Poor,Stage 2,30
L01425,22,113476,6203,11.5,48,686,2023-06-24,1,2025-01-27,0.0546635411893263,0.0546635411893263,20s,19.0,2023-06-01,1.6866116662931072,5.292361429215716,2.7522617229098687,1.970851792373928,5.546148941512129,2.757910161032392,0.64,0.333,5986.34,1274.11,Good,Stage 3,23
L01426,43,72683,3801,17.65,48,577,2023-11-16,0,,0.0522955849373306,0.0522955849373306,40s,0.0,2023-11-01,1.7402557425219578,6.967381840997457,2.685016707073905,1.6118317078309,5.466521384637438,2.606730523216602,0.42,0.236,3812.56,378.38,Poor,Stage 3,18
L01427,22,102269,35449,11.25,48,300,2023-01-12,0,,0.3466250770028063,0.3466250770028063,20s,0.0,2023-01-01,2.4823076569763702,7.721511165662398,2.7035067129716897,2.3590750079880727,6.043806803857092,2.5168408015261186,0.15,0.307,33996.13,1564.54,,Stage 2,28
L01428,68,56145,25412,9.43,60,819,2023-11-23,0,,0.4526137679223439,0.4526137679223439,60s,0.0,2023-11-01,1.7402557425219578,6.967381840997457,2.685016707073905,1.6118317078309,5.466521384637438,2.606730523216602,0.43,0.389,25509.62,4266.32,Excellent,Stage 3,18
L01429,25,39569,28738,6.23,48,575,2023-02-01,1,2025-07-16,0.7262756198033814,0.7262756198033814,20s,30.0,2023-02-01,2.395625964836375,5.4348975897018175,2.441587329929464,2.195429606838536,5.709865222129474,2.584092472343392,0.67,0.463,27129.83,8413.94,Poor,Stage 3,27
L01430,38,101720,33897,5.7,48,453,2023-11-12,0,,0.3332383012190326,0.3332383012190326,30s,0.0,2023-11-01,1.7402557425219578,6.967381840997457,2.685016707073905,1.6118317078309,5.466521384637438,2.606730523216602,0.08,0.235,33469.87,630.37,Poor,Stage 2,18
L01431,66,107154,14934,9.83,36,367,2023-03-16,0,,0.1393695055714205,0.1393695055714205,60s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.17,0.342,15687.08,912.25,Poor,Stage 2,26
L01432,26,101741,30331,7.17,24,658,2024-02-17,0,,0.2981197354065716,0.2981197354065716,20s,0.0,2024-02-01,2.146702655291118,4.127132105166019,2.34390369899253,2.0997858453349783,5.506876616557747,2.1819356611975134,0.17,0.224,29847.44,1135.39,Fair,Stage 2,15
L01433,69,54629,49910,11.11,60,713,2022-05-22,1,2024-10-01,0.9136173094876348,0.9136173094876348,60s,29.0,2022-05-01,1.3761188425140192,6.318907291787187,2.569954585294288,1.7584506549428334,6.411956393472274,2.4795611804930995,0.23,0.235,47982.6,2593.15,Good,Stage 2,36
L01434,31,58015,37502,5.01,12,644,2022-07-25,1,2023-06-28,0.6464190295613204,0.6464190295613204,30s,11.0,2022-07-01,4.073947525166922,4.801062819433707,1.8246969232435752,2.4842263194193843,5.551075369500374,2.3953731308672186,0.14,0.121,38161.19,645.47,Fair,Stage 2,34
L01435,46,43977,43931,8.25,36,824,2022-06-07,1,2024-07-04,0.9989539986811288,0.9989539986811288,40s,25.0,2022-06-01,2.002612590577211,5.533255997280228,2.7914678840637914,1.720401525688848,6.070943201332469,2.63804158965663,0.2,0.156,42839.38,1336.38,Excellent,Stage 2,35
L01436,22,54959,35328,17.41,48,718,2024-03-28,0,,0.6428064557215378,0.6428064557215378,20s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.08,0.241,35383.46,682.38,Good,Stage 2,13
L01437,51,46708,21847,8.76,12,755,2024-01-31,0,,0.4677357197910422,0.4677357197910422,50s,0.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.964303541078592,6.45362652850156,2.2956399972246384,0.02,0.313,22252.25,139.5,Very Good,Stage 2,15
L01438,68,146913,16541,6.68,36,677,2024-03-10,0,,0.1125904446849496,0.1125904446849496,60s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.3,0.304,15511.96,1415.14,Good,Stage 2,14
L01439,61,79072,5024,5.05,60,431,2023-02-10,0,,0.0635370295426952,0.0635370295426952,60s,0.0,2023-02-01,2.395625964836375,5.4348975897018175,2.441587329929464,2.195429606838536,5.709865222129474,2.584092472343392,0.07,0.333,5049.95,117.65,Poor,Stage 2,27
L01440,30,27086,5317,6.9,48,763,2024-02-10,0,,0.1963006719338403,0.1963006719338403,20s,0.0,2024-02-01,2.146702655291118,4.127132105166019,2.34390369899253,2.0997858453349783,5.506876616557747,2.1819356611975134,0.18,0.237,5081.14,216.88,Very Good,Stage 2,15
L01441,31,68380,10848,16.61,60,573,2024-04-07,0,,0.158642878034513,0.158642878034513,30s,0.0,2024-04-01,2.610925191020669,4.921261927611488,2.4286029073507773,2.4915551817490145,5.226437489195747,2.276693568136,0.01,0.305,11047.84,33.75,Poor,Stage 1,13
L01442,34,55233,19304,16.55,36,403,2023-10-24,1,2025-06-18,0.3495012039903681,0.3495012039903681,30s,20.0,2023-10-01,1.9361392798913275,5.201538083718159,2.1953790107849285,1.8066350953327208,4.933524106262756,2.652395419426751,0.68,0.253,19193.96,3304.77,Poor,Stage 3,19
L01443,38,111549,30928,7.22,12,318,2023-11-26,0,,0.2772593210158764,0.2772593210158764,30s,0.0,2023-11-01,1.7402557425219578,6.967381840997457,2.685016707073905,1.6118317078309,5.466521384637438,2.606730523216602,0.09,0.251,29755.99,670.86,Poor,Stage 2,17
L01444,28,143102,3002,7.68,24,764,2023-04-04,1,2025-03-23,0.0209780436332126,0.0209780436332126,20s,24.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.33,0.332,3070.68,336.09,Very Good,Stage 2,25
L01445,34,98322,18037,16.65,48,438,2023-01-16,0,,0.1834482618335672,0.1834482618335672,30s,0.0,2023-01-01,2.4823076569763702,7.721511165662398,2.7035067129716897,2.3590750079880727,6.043806803857092,2.5168408015261186,0.07,0.248,17606.11,306.01,Poor,Stage 2,28
L01446,67,113293,44907,9.31,60,346,2023-02-20,1,2023-04-30,0.3963792996919492,0.3963792996919492,60s,2.0,2023-02-01,2.395625964836375,5.4348975897018175,2.441587329929464,2.195429606838536,5.709865222129474,2.584092472343392,0.19,0.189,47358.64,1698.67,Poor,Stage 2,27
L01447,68,29967,19218,6.94,12,807,2023-10-18,1,2024-06-04,0.6413054359795776,0.6413054359795776,60s,8.0,2023-10-01,1.9361392798913275,5.201538083718159,2.1953790107849285,1.8066350953327208,4.933524106262756,2.652395419426751,0.74,0.286,20022.75,4240.94,Excellent,Stage 3,19
L01448,33,108444,38912,9.35,12,376,2024-02-21,0,,0.3588211427096012,0.3588211427096012,30s,0.0,2024-02-01,2.146702655291118,4.127132105166019,2.34390369899253,2.0997858453349783,5.506876616557747,2.1819356611975134,0.04,0.229,37695.72,345.92,Poor,Stage 2,15
L01449,46,48261,44065,5.31,24,775,2023-02-20,0,,0.913056090839394,0.913056090839394,40s,0.0,2023-02-01,2.395625964836375,5.4348975897018175,2.441587329929464,2.195429606838536,5.709865222129474,2.584092472343392,0.04,0.306,43596.79,533.72,Very Good,Stage 2,27
L01450,44,115954,14340,8.44,36,544,2024-01-12,0,,0.1236697311002639,0.1236697311002639,40s,0.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.964303541078592,6.45362652850156,2.2956399972246384,0.27,0.25,14329.84,965.55,Poor,Stage 2,16
L01451,42,84204,10737,12.3,24,441,2023-08-26,0,,0.12751175716118,0.12751175716118,40s,0.0,2023-08-01,2.32466590502742,5.368390005873416,2.822011395704353,2.290270107591903,5.323876239875504,2.521788194019356,0.21,0.256,11000.39,590.53,Poor,Stage 2,21
L01452,40,27310,38167,8.07,24,451,2023-03-27,0,,1.3975466861955328,1.3975466861955328,30s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.13,0.249,38730.46,1251.69,Poor,Stage 2,26
L01453,33,96733,16050,17.63,36,749,2023-03-30,0,,0.1659206268801753,0.1659206268801753,30s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.06,0.337,15631.61,315.69,Very Good,Stage 2,26
L01454,63,128807,8122,10.55,36,315,2023-05-01,0,,0.0630555792775237,0.0630555792775237,60s,0.0,2023-05-01,1.9134642250612213,4.921429141968128,2.536535433577892,1.9909266177032352,6.2400099885139495,2.8167784913630864,0.05,0.342,7804.73,133.38,Poor,Stage 2,24
L01455,69,120414,36725,17.38,36,606,2023-01-06,0,,0.3049894530536316,0.3049894530536316,60s,0.0,2023-01-01,2.4823076569763702,7.721511165662398,2.7035067129716897,2.3590750079880727,6.043806803857092,2.5168408015261186,0.03,0.349,36037.38,377.04,Fair,Stage 2,28
L01456,50,145882,14595,12.99,12,554,2022-11-06,0,,0.1000466130159992,0.1000466130159992,40s,0.0,2022-11-01,2.886562168284985,6.436722334884672,2.239832317477644,2.48204162733108,6.3020746040491735,2.4701808206419096,0.35,0.312,15277.87,1665.9,Poor,Stage 2,30
L01457,43,128237,38645,9.8,12,570,2023-03-09,0,,0.3013560828777966,0.3013560828777966,40s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.1,0.24,39169.77,938.61,Poor,Stage 2,26
L01458,66,50783,20325,9.79,48,545,2024-05-08,0,,0.400232361223244,0.400232361223244,60s,0.0,2024-05-01,1.3930510644373455,4.999306485684271,2.408811511663381,2.240337984797757,5.51716228270183,2.29832950569295,0.07,0.317,20039.31,444.89,Poor,Stage 2,12
L01459,49,84222,37493,15.59,48,387,2024-01-25,0,,0.4451687207617962,0.4451687207617962,40s,0.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.964303541078592,6.45362652850156,2.2956399972246384,0.03,0.277,37165.36,309.01,Poor,Stage 2,15
L01460,22,127157,10187,14.1,24,372,2023-05-01,0,,0.0801135604017081,0.0801135604017081,20s,0.0,2023-05-01,1.9134642250612213,4.921429141968128,2.536535433577892,1.9909266177032352,6.2400099885139495,2.8167784913630864,0.07,0.363,10063.87,255.51,Poor,Stage 2,24
L01461,43,135844,22510,4.56,24,819,2022-09-07,1,2024-02-07,0.1657047790112187,0.1657047790112187,40s,17.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.78,0.26,22708.09,4600.71,Excellent,Stage 3,32
L01462,68,40460,17963,15.23,48,430,2023-04-22,0,,0.4439693524468611,0.4439693524468611,60s,0.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.16,0.285,17823.75,812.8,Poor,Stage 2,25
L01463,34,66371,45705,9.66,60,637,2023-03-29,0,,0.6886290699251179,0.6886290699251179,30s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.04,0.286,45409.81,519.65,Fair,Stage 2,26
L01464,69,58374,9766,7.31,24,432,2022-06-20,1,2023-07-05,0.1673005105012505,0.1673005105012505,60s,13.0,2022-06-01,2.002612590577211,5.533255997280228,2.7914678840637914,1.720401525688848,6.070943201332469,2.63804158965663,0.81,0.331,9470.16,2540.09,Poor,Stage 3,35
L01465,49,57134,4506,15.7,60,375,2022-10-16,0,,0.078867224419785,0.078867224419785,40s,0.0,2022-10-01,2.6306927290414364,6.4088103741296365,2.599819147327161,2.049337569661418,6.388047865137168,2.413916357481154,0.05,0.309,4534.47,69.96,Poor,Stage 2,31
L01466,57,128162,48384,15.28,60,466,2023-02-18,0,,0.3775221984675644,0.3775221984675644,50s,0.0,2023-02-01,2.395625964836375,5.4348975897018175,2.441587329929464,2.195429606838536,5.709865222129474,2.584092472343392,0.17,0.367,49413.32,3079.21,Poor,Stage 2,27
L01467,43,112438,5810,16.12,36,308,2023-04-28,0,,0.0516729219658834,0.0516729219658834,40s,0.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.01,0.347,5706.97,19.79,Poor,Stage 1,25
L01468,47,107858,10999,14.47,12,849,2023-04-14,1,2024-02-24,0.1019766730330619,0.1019766730330619,40s,11.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.77,0.398,10523.5,3221.16,Excellent,Stage 3,25
L01469,38,139998,14314,15.1,48,599,2022-10-08,0,,0.1022443177759682,0.1022443177759682,30s,0.0,2022-10-01,2.6306927290414364,6.4088103741296365,2.599819147327161,2.049337569661418,6.388047865137168,2.413916357481154,0.15,0.328,14593.76,717.32,Fair,Stage 2,31
L01470,53,73911,31067,4.13,12,821,2023-07-22,1,2024-06-23,0.4203298561783767,0.4203298561783767,50s,11.0,2023-07-01,2.8595327514551823,5.310877284537378,1.991091463443845,2.153202880936504,5.174889285240408,2.426629539977202,0.73,0.304,33257.78,7377.42,Excellent,Stage 3,22
L01471,61,111500,25891,16.09,48,701,2022-09-03,0,,0.2322062780269058,0.2322062780269058,60s,0.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.23,0.301,26348.59,1823.54,Good,Stage 2,32
L01472,68,32516,16886,13.29,12,567,2023-03-15,1,2023-07-25,0.5193135687046377,0.5193135687046377,60s,4.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.65,0.228,16050.61,2383.82,Poor,Stage 3,26
L01473,31,107359,31797,17.06,48,810,2023-04-29,0,,0.2961745172738196,0.2961745172738196,30s,0.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.24,0.363,31267.48,2723.89,Excellent,Stage 2,25
L01474,52,90320,12472,5.9,12,742,2023-12-01,0,,0.1380868024800708,0.1380868024800708,50s,0.0,2023-12-01,1.894676466343383,7.069755601215846,1.9379351431262704,1.8570238295855563,6.412891841977154,2.272776953661701,0.06,0.359,12038.33,259.28,Very Good,Stage 2,17
L01475,25,45192,27722,10.77,36,733,2022-05-20,1,2024-10-21,0.6134271552487166,0.6134271552487166,20s,30.0,2022-05-01,1.3761188425140192,6.318907291787187,2.569954585294288,1.7584506549428334,6.411956393472274,2.4795611804930995,0.18,0.272,26734.89,1307.18,Good,Stage 2,36
L01476,22,93741,19365,16.59,60,644,2023-04-02,1,2026-12-20,0.2065798316638397,0.2065798316638397,20s,45.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.72,0.231,19108.93,3174.14,Fair,Stage 3,25
L01477,46,121294,4195,10.11,48,520,2022-11-16,1,2023-02-12,0.0345853875706959,0.0345853875706959,40s,3.0,2022-11-01,2.886562168284985,6.436722334884672,2.239832317477644,2.48204162733108,6.3020746040491735,2.4701808206419096,0.79,0.241,4121.72,783.64,Poor,Stage 3,30
L01478,35,134514,31743,10.97,60,582,2023-02-09,0,,0.2359828716713501,0.2359828716713501,30s,0.0,2023-02-01,2.395625964836375,5.4348975897018175,2.441587329929464,2.195429606838536,5.709865222129474,2.584092472343392,0.01,0.273,30931.38,84.38,Fair,Stage 1,27
L01479,43,135184,16275,4.27,48,746,2023-11-27,1,2024-11-08,0.1203914664457332,0.1203914664457332,40s,12.0,2023-11-01,1.7402557425219578,6.967381840997457,2.685016707073905,1.6118317078309,5.466521384637438,2.606730523216602,0.69,0.267,15279.3,2815.78,Very Good,Stage 3,17
L01480,49,54112,11515,12.04,48,645,2023-11-12,0,,0.2127993790656416,0.2127993790656416,40s,0.0,2023-11-01,1.7402557425219578,6.967381840997457,2.685016707073905,1.6118317078309,5.466521384637438,2.606730523216602,0.06,0.291,11650.76,203.36,Fair,Stage 2,18
